Law Name,Country,Image,Type of Law,Law ID,Promulgated,Most Recent Amendment,Original Law,Translation Available,Translation
Access to information,Morocco,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Morocco.png,Access to Information,31.13,2014,,http://www.hibapress.com/details-32985.html,Yes,https://docs.google.com/document/d/1dp6Aez-tbixpLnljBhSyQi-Iky8EqVklo6ctMliLk4o/edit
Access to administrative documents of public entities,Tunisia,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Tunisia.png,Access to Information,41,2011,,http://www.scribd.com/doc/186676187/%D8%AA%D9%88%D9%86%D8%B3-%D9%85%D8%B1%D8%B3%D9%88%D9%85-%D9%85%D8%B1%D8%B3%D9%88%D9%85-%D8%B9%D8%AF%D8%AF-41-%D9%84%D8%B3%D9%86%D8%A9-2011-%D9%85%D8%A4%D8%B1%D8%AE-%D9%81%D9%8A-26-%D9%85%D8%A7%D9%8A-2011-%D9%8A%D8%AA%D8%B9%D9%84%D9%82-%D8%A8%D8%A7%D9%84%D9%86%D9%81%D8%A7%D8%B0-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D9%88%D8%AB%D8%A7%D8%A6%D9%82-%D8%A7%D9%84%D8%A5%D8%AF%D8%A7%D8%B1%D9%8A%D8%A9-%D9%84%D9%84%D9%87%D9%8A%D8%A7%D9%83%D9%84-%D8%A7%D9%84%D8%B9%D9%85%D9%88%D9%85%D9%8A%D8%A9,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9aERTQUpXTU9nLU0&authuser=1
Law on securing the right to information access,Jordan,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Jordan.png,Access to Information,47,2007,,https://docs.google.com/file/d/0B3vVT8DMycrfYjFwcFlrUWtxZVk/edit?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9cG55YmdNQi02eDQ&authuser=1
Cybercrime prevention law,Qatar,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Qatar.png,Anti-Cybercrime,14,2014,,https://drive.google.com/file/d/0B5CY0qNNVULxSW9lUk5zMEJMV0k/view?usp=sharing ,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9cmJsQXc4WFVYZVk&authuser=1
Cybercrime law,Oman,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Oman.png,Anti-Cybercrime,12,2011,,https://drive.google.com/a/smex.org/file/d/0B_-P9ctecZkIdVJSNjFEbC1GMHM/edit,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9dXBUc29aNDFvQms&authuser=1
Cybercrime law,Algeria,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Algeria.png,Anti-Cybercrime,04-09,2009,,https://drive.google.com/file/d/0B5CY0qNNVULxakVWSUkwSmN2b1k/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9ejZISnRmWGlhdU0&authuser=1
Anti-cybercrime law,Saudi Arabia,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Saudi_Arabia.png,Anti-Cybercrime,17,2007,,https://drive.google.com/file/d/0B5CY0qNNVULxWkhVaU9DUXI2ZVE/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9NW5FcWFSeDBmS2c&authuser=1
Combatting cybercrime,UAE,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_the_UAE.png,Anti-Cybercrime,5,2006,2012,https://drive.google.com/file/d/0B5CY0qNNVULxMGdfWU0xUEJNMDQ/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9QnptRm9nbTJOeTQ&authuser=1
Law to prevent the misuse of communication devices in the Kurdistan region,Iraq,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Iraq.png,Anti-Cybercrime,6,2008,,https://docs.google.com/document/d/1TtnqDC8vIMDR11ne7u1JuCgMbW8kLoSyXlyqrV6QzVU/edit?usp=sharing,No,http://www.smex.org/help_smex_find_this_law/
Information systems crime law,Jordan,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Jordan.png,Anti-Cybercrime,30,2010,,http://www.ammonnews.net/article.aspx?articleNo=66530,No,http://www.smex.org/help_smex_find_this_law/
E-Crime law,Sudan,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Sudan.png,Anti-Cybercrime,,2007,,https://drive.google.com/file/d/0B5CY0qNNVULxUHJacEJ2UTFLZTg/view?usp=sharing,No,http://www.smex.org/help_smex_find_this_law/
Cybercrime law ,Syria,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Syria.png,Anti-Cybercrime,17,2012,,http://www.syrianbar.org/index.php?news=874,No,http://www.smex.org/help_smex_find_this_law/
Non financial anti money laundering / Anti terrorist financing regulation,UAE,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_the_UAE.png,Anti-Terrorism,1,2004,,https://drive.google.com/file/d/0B5CY0qNNVULxU2hMeGs2YlVhVDQ/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9dzFkNU5lTU91Tm8&authuser=1
Combatting money laundering and financing terrorism,Kuwait,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Kuwait.png,Anti-Terrorism,106,2013,,http://www.gcc-legal.org/lawAsPDF.aspx?opt&country=1&lawID=4124,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9NjRBVUFSN0M4dEk&authuser=1
Law of anti-money laundering and combating the financing of terrorism,Oman,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Oman.png,Anti-Terrorism,8,2007,,https://drive.google.com/file/d/0B5CY0qNNVULxNGUzUFN1MGhsMzA/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9S2FqX3hIOHp1U1U&authuser=1
Combatting terrorism,Qatar,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Qatar.png,Anti-Terrorism,3,2004,,https://drive.google.com/file/d/0B5CY0qNNVULxYWJrdFJ1OGFuVDg/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9VDJ2VWl6bXlZZW8&authuser=1
Anti-terrorism ,Jordan,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Jordan.png,Anti-Terrorism,18,2014,,https://drive.google.com/file/d/0B5CY0qNNVULxcnJIQWRSZGdzQlE/view?usp=sharing,No,http://www.smex.org/help_smex_find_this_law/
Terrorism law,Libya,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Libya.png,Anti-Terrorism,,Draft,,https://drive.google.com/file/d/0B5CY0qNNVULxSDB4cG40RXZrY2c/view?usp=sharing,No,http://www.smex.org/help_smex_find_this_law/
Anti-terrorism law,Mauritania,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Mauritania.png,Anti-Terrorism,35,2010,,https://drive.google.com/file/d/0B5CY0qNNVULxOW5iZE02OUgwWTg/view?usp=sharing,No,http://www.smex.org/help_smex_find_this_law/
Anti-terrorism law,Morocco,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Morocco.png,Anti-Terrorism,3,2003,,https://drive.google.com/file/d/0B5CY0qNNVULxcVJzLV9Na1NmSTA/view,No,http://www.smex.org/help_smex_find_this_law/
Anti-terrorism law,Syria,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Syria.png,Anti-Terrorism,19,2012,,https://docs.google.com/document/d/1_nFzcRLevnT7tBfSlWN2Mhwzn4iP4QI1tJ2kFuWBnU8/edit,No,http://www.smex.org/help_smex_find_this_law/
Constitution,Somalia,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Somalia.png,Constitution,,1960,2012,https://drive.google.com/file/d/0B_-P9ctecZkINTc4bTdjTEtMMWM/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9bFBjMF9CSVRzYkE&authuser=1
